Id,Pair,TimeStamp,Quantity,Price,Total,FillType,OrderType
7393362,BTC-TIX,2018-01-23T14:49:10.47,356.01775349,0.00011852,0.04219522,PARTIAL_FILL,BUY
7393361,BTC-TIX,2018-01-23T14:49:10.47,213.77045154,0.00011852,0.02533607,PARTIAL_FILL,BUY
7393359,BTC-TIX,2018-01-23T14:49:10.393,47.88186062,0.00011852,0.00567495,FILL,BUY
7393357,BTC-TIX,2018-01-23T14:49:10.113,167.88439926,0.00011852,0.01989765,FILL,BUY
7393355,BTC-TIX,2018-01-23T14:49:10.113,5.39145582,0.00011852,0.00063899,FILL,BUY
7393352,BTC-TIX,2018-01-23T14:49:10.097,385.07183275,0.00011852,0.04563871,FILL,BUY
7393351,BTC-TIX,2018-01-23T14:49:10.097,500.0,0.00011851,0.059255,PARTIAL_FILL,BUY
7393350,BTC-TIX,2018-01-23T14:49:10.097,790.94592073,0.00011843,0.09367172,PARTIAL_FILL,BUY
7393348,BTC-TIX,2018-01-23T14:49:10.08,26.20760209,0.00011843,0.00310376,FILL,BUY
7393343,BTC-TIX,2018-01-23T14:49:08.783,1020.90516234,0.00011843,0.12090579,FILL,BUY
7393342,BTC-TIX,2018-01-23T14:49:08.783,663.72952137,0.00011836,0.07855902,PARTIAL_FILL,BUY
7393224,BTC-TIX,2018-01-23T14:45:58.387,0.7738879,0.0001192,9.224e-05,FILL,BUY
7393223,BTC-TIX,2018-01-23T14:45:58.387,20.0,0.00011872,0.0023744,PARTIAL_FILL,BUY
7393170,BTC-TIX,2018-01-23T14:44:59.743,8.98490785,0.00011836,0.00106345,PARTIAL_FILL,BUY
7393149,BTC-TIX,2018-01-23T14:44:46.46,25.82644628,0.00011836,0.00305681,FILL,BUY
7393050,BTC-TIX,2018-01-23T14:42:55.97,5.6831816,0.00011872,0.0006747,FILL,SELL
7393030,BTC-TIX,2018-01-23T14:42:16.047,12.35367704,0.00011813,0.00145933,PARTIAL_FILL,SELL
7393029,BTC-TIX,2018-01-23T14:42:16.047,82.18670182,0.00011813,0.00970871,FILL,SELL
7392922,BTC-TIX,2018-01-23T14:39:42.057,180.79721831,0.00011811,0.02135395,PARTIAL_FILL,SELL
7392912,BTC-TIX,2018-01-23T14:39:36.587,291.28758748,0.00011811,0.03440397,PARTIAL_FILL,SELL
7392604,BTC-TIX,2018-01-23T14:35:15.84,1843.63892127,0.00011761,0.21683037,PARTIAL_FILL,SELL
7392603,BTC-TIX,2018-01-23T14:35:15.84,305.64568005,0.00011762,0.03595004,FILL,SELL
7392602,BTC-TIX,2018-01-23T14:35:15.84,339.90826385,0.00011767,0.039997,FILL,SELL
7392499,BTC-TIX,2018-01-23T14:34:13.523,5.5,0.00011728,0.00064504,PARTIAL_FILL,SELL
7392351,BTC-TIX,2018-01-23T14:32:50.44,34.81135414,0.00011678,0.00406526,PARTIAL_FILL,SELL
7392337,BTC-TIX,2018-01-23T14:32:41.753,93.35589985,0.00011676,0.01090023,PARTIAL_FILL,BUY
7392335,BTC-TIX,2018-01-23T14:32:41.427,7.62724146,0.00011676,0.00089055,FILL,BUY
7392333,BTC-TIX,2018-01-23T14:32:41.41,7.62718396,0.00011676,0.00089054,FILL,BUY
7392331,BTC-TIX,2018-01-23T14:32:41.38,7.62724146,0.00011676,0.00089055,FILL,BUY
7392329,BTC-TIX,2018-01-23T14:32:41.347,7.62724145,0.00011676,0.00089055,FILL,BUY
7392327,BTC-TIX,2018-01-23T14:32:41.237,7.62724146,0.00011676,0.00089055,FILL,BUY
7392325,BTC-TIX,2018-01-23T14:32:40.91,500.0,0.00011676,0.05838,FILL,SELL
7392324,BTC-TIX,2018-01-23T14:32:40.91,72.4073448,0.00011847,0.00857809,FILL,SELL
7392323,BTC-TIX,2018-01-23T14:32:40.91,63.09662922,0.00011885,0.00749903,FILL,SELL
7392322,BTC-TIX,2018-01-23T14:32:40.487,100.0,0.00012,0.012,FILL,SELL
7392321,BTC-TIX,2018-01-23T14:32:40.487,193.65082019,0.00012001,0.02324003,FILL,SELL
7392320,BTC-TIX,2018-01-23T14:32:40.487,172.51044607,0.00012008,0.02071505,FILL,SELL
7392317,BTC-TIX,2018-01-23T14:32:35.44,690.04178427,0.00012008,0.08286021,PARTIAL_FILL,SELL
7392316,BTC-TIX,2018-01-23T14:32:31.91,300.8347574,0.0001201,0.03613025,FILL,SELL
7392139,BTC-TIX,2018-01-23T14:29:12.133,5.11550087,0.00012061,0.00061698,FILL,SELL
7392001,BTC-TIX,2018-01-23T14:26:47.317,18.92932639,0.000121,0.00229044,FILL,BUY
7391948,BTC-TIX,2018-01-23T14:26:02.033,25.82644628,0.000121,0.00312499,FILL,BUY
7391719,BTC-TIX,2018-01-23T14:24:41.153,60.05195676,0.00012113,0.00727409,FILL,SELL
7391714,BTC-TIX,2018-01-23T14:24:39.683,100.0,0.00012194,0.012194,FILL,BUY
7391704,BTC-TIX,2018-01-23T14:24:36.903,150.16,0.00012194,0.01831051,FILL,SELL
7391700,BTC-TIX,2018-01-23T14:24:36.153,314.93449474,0.00012212,0.0384598,FILL,SELL
7391699,BTC-TIX,2018-01-23T14:24:36.153,141.07747431,0.00012219,0.01723825,FILL,SELL
7391698,BTC-TIX,2018-01-23T14:24:35.887,39.719744,0.00012219,0.00485335,PARTIAL_FILL,SELL
7391697,BTC-TIX,2018-01-23T14:24:35.887,524.59015322,0.00012219,0.06409967,FILL,SELL
7391659,BTC-TIX,2018-01-23T14:23:42.993,34.81135414,0.00012363,0.00430372,FILL,BUY
7391648,BTC-TIX,2018-01-23T14:23:25.883,5.66114032,0.00012365,0.0007,FILL,SELL
7391565,BTC-TIX,2018-01-23T14:21:20.08,33.91267486,0.0001219,0.00413395,PARTIAL_FILL,SELL
7391523,BTC-TIX,2018-01-23T14:20:35.313,52.88766659,0.00012182,0.00644277,PARTIAL_FILL,SELL
7391501,BTC-TIX,2018-01-23T14:20:20.39,52.88766659,0.0001218,0.00644171,PARTIAL_FILL,SELL
7391500,BTC-TIX,2018-01-23T14:20:18.267,520.57384662,0.0001218,0.06340589,PARTIAL_FILL,SELL
7391499,BTC-TIX,2018-01-23T14:20:18.267,163.79310344,0.0001218,0.01994999,FILL,SELL
7391498,BTC-TIX,2018-01-23T14:20:18.267,10.37930738,0.00012181,0.0012643,FILL,SELL
7391472,BTC-TIX,2018-01-23T14:20:10.563,124.43123068,0.00012178,0.01515323,PARTIAL_FILL,SELL
7391471,BTC-TIX,2018-01-23T14:20:10.563,163.80655226,0.00012179,0.01994999,FILL,SELL
7391347,BTC-TIX,2018-01-23T14:19:12.653,52.64177422,0.00012365,0.00650915,PARTIAL_FILL,SELL
7391346,BTC-TIX,2018-01-23T14:19:12.653,20.7738879,0.000124,0.00257596,FILL,SELL
7391313,BTC-TIX,2018-01-23T14:18:42.2,195.99265842,0.00012365,0.02423449,PARTIAL_FILL,SELL
7391280,BTC-TIX,2018-01-23T14:18:23.713,591.73055513,0.00012362,0.07314973,PARTIAL_FILL,SELL
7391279,BTC-TIX,2018-01-23T14:18:23.713,608.26944487,0.000124,0.07542541,FILL,SELL
7391275,BTC-TIX,2018-01-23T14:18:20.073,1e-08,0.00012363,0.0,PARTIAL_FILL,BUY
7391273,BTC-TIX,2018-01-23T14:18:18.837,466.7894334,0.00012362,0.0577045,PARTIAL_FILL,SELL
7391269,BTC-TIX,2018-01-23T14:18:14.493,839.0,0.00012362,0.10371718,PARTIAL_FILL,SELL
7391267,BTC-TIX,2018-01-23T14:18:11.477,274.32489999,0.00012363,0.03391478,FILL,BUY
7391266,BTC-TIX,2018-01-23T14:18:11.477,146.13205857,0.00012362,0.01806484,PARTIAL_FILL,BUY
7391265,BTC-TIX,2018-01-23T14:18:11.477,2023.53608195,0.00012361,0.25012929,PARTIAL_FILL,BUY
7391264,BTC-TIX,2018-01-23T14:18:11.477,170.43599412,0.00012357,0.02106077,PARTIAL_FILL,BUY
7391263,BTC-TIX,2018-01-23T14:18:11.477,1165.61036458,0.00012356,0.14402281,PARTIAL_FILL,BUY
7390959,BTC-TIX,2018-01-23T14:15:23.017,56.80894309,0.00012361,0.00702215,FILL,BUY
7390958,BTC-TIX,2018-01-23T14:15:23.017,43.19105691,0.0001236,0.00533841,PARTIAL_FILL,BUY
7390879,BTC-TIX,2018-01-23T14:14:44.233,11.01694915,0.00012131,0.00133646,PARTIAL_FILL,SELL
7390859,BTC-TIX,2018-01-23T14:14:36.297,43.19105691,0.00012129,0.00523864,PARTIAL_FILL,SELL
7390836,BTC-TIX,2018-01-23T14:14:22.467,174.27973591,0.000123,0.0214364,FILL,BUY
7390832,BTC-TIX,2018-01-23T14:14:21.717,783.34522138,0.00012128,0.0950041,PARTIAL_FILL,SELL
7390831,BTC-TIX,2018-01-23T14:14:21.717,129.84369163,0.00012206,0.01584872,FILL,SELL
7390830,BTC-TIX,2018-01-23T14:14:21.717,356.01775349,0.00012207,0.04345908,FILL,SELL
7390829,BTC-TIX,2018-01-23T14:14:21.467,1826.14151903,0.000123,0.2246154,FILL,SELL
7390828,BTC-TIX,2018-01-23T14:14:21.467,448.69208835,0.00012304,0.05520707,FILL,SELL
7390821,BTC-TIX,2018-01-23T14:14:17.78,127.56849315,0.000123,0.01569092,PARTIAL_FILL,SELL
7390814,BTC-TIX,2018-01-23T14:14:14.59,127.56849315,0.000123,0.01569092,PARTIAL_FILL,SELL
7390802,BTC-TIX,2018-01-23T14:14:08.857,146.13205857,0.00012301,0.0179757,PARTIAL_FILL,SELL
7390798,BTC-TIX,2018-01-23T14:14:02.467,8858.52856179,0.00012502,1.10749324,FILL,SELL
7390797,BTC-TIX,2018-01-23T14:14:01.857,2153.661,0.00012502,0.26925069,PARTIAL_FILL,SELL
7390796,BTC-TIX,2018-01-23T14:14:01.42,4898.26447698,0.00012502,0.61238102,PARTIAL_FILL,SELL
7390793,BTC-TIX,2018-01-23T14:13:59.997,7667.58611645,0.00012502,0.95860161,PARTIAL_FILL,SELL
7390792,BTC-TIX,2018-01-23T14:13:59.997,21.19001196,0.00012503,0.00264938,FILL,SELL
7390790,BTC-TIX,2018-01-23T14:13:59.81,418.12045908,0.00012502,0.05227341,PARTIAL_FILL,SELL
7390789,BTC-TIX,2018-01-23T14:13:59.81,8.7985922,0.00012502,0.00109999,FILL,SELL
7390788,BTC-TIX,2018-01-23T14:13:59.81,270.24986,0.00012502,0.03378663,FILL,SELL
7390787,BTC-TIX,2018-01-23T14:13:59.81,243.34691018,0.00012502,0.03042323,FILL,SELL
7390786,BTC-TIX,2018-01-23T14:13:58.043,12.61213982,0.00012502,0.00157676,PARTIAL_FILL,SELL
7390785,BTC-TIX,2018-01-23T14:13:58.043,39.993601,0.00012502,0.00499999,FILL,SELL
7390784,BTC-TIX,2018-01-23T14:13:58.043,8.7985922,0.00012502,0.00109999,FILL,SELL
7390783,BTC-TIX,2018-01-23T14:13:58.043,15.99744,0.00012502,0.00199999,FILL,SELL
7390782,BTC-TIX,2018-01-23T14:13:58.043,101.35898,0.00012502,0.01267189,FILL,SELL
7390781,BTC-TIX,2018-01-23T14:13:58.043,8.7985922,0.00012502,0.00109999,FILL,SELL
7381307,BTC-TIX,2018-01-23T11:39:47.203,151.49517212,0.00011723,0.01775977,FILL,BUY
7381280,BTC-TIX,2018-01-23T11:39:25.437,111.55649731,0.00011723,0.01307776,FILL,BUY
7381270,BTC-TIX,2018-01-23T11:39:22.34,158.0276033,0.00011723,0.01852557,FILL,BUY
7381263,BTC-TIX,2018-01-23T11:39:19.717,168.36455308,0.00011723,0.01973737,FILL,SELL
7381262,BTC-TIX,2018-01-23T11:39:19.717,494.80665818,0.00011723,0.05800618,FILL,SELL
