Id,Pair,TimeStamp,Quantity,Price,Total,FillType,OrderType
14081390,BTC-SBD,2018-01-24T15:07:30.187,163.5763667,0.0006104,0.09984701,PARTIAL_FILL,SELL
14081296,BTC-SBD,2018-01-24T15:06:26.967,2.4982629,0.00061,0.00152394,PARTIAL_FILL,SELL
14081265,BTC-SBD,2018-01-24T15:06:13.327,3.61750451,0.00061,0.00220667,PARTIAL_FILL,SELL
14081256,BTC-SBD,2018-01-24T15:06:10.56,384.74191036,0.00061894,0.23813215,FILL,SELL
14081253,BTC-SBD,2018-01-24T15:06:08.123,232.67352917,0.00061894,0.14401095,PARTIAL_FILL,SELL
14081240,BTC-SBD,2018-01-24T15:06:00.67,39.31396675,0.00061897,0.02433416,FILL,SELL
14081236,BTC-SBD,2018-01-24T15:05:59.327,1.40998229,0.00061897,0.00087273,PARTIAL_FILL,BUY
14081234,BTC-SBD,2018-01-24T15:05:59.14,5.28508465,0.00061894,0.00327115,PARTIAL_FILL,SELL
14081228,BTC-SBD,2018-01-24T15:05:56.67,3.61750451,0.00061894,0.00223901,PARTIAL_FILL,SELL
14081220,BTC-SBD,2018-01-24T15:05:54.31,18.14373134,0.00061894,0.01122988,PARTIAL_FILL,SELL
14081201,BTC-SBD,2018-01-24T15:05:47.42,11.79902637,0.00061894,0.00730288,PARTIAL_FILL,BUY
14081200,BTC-SBD,2018-01-24T15:05:47.42,98.11664907,0.00061894,0.06072831,PARTIAL_FILL,BUY
14081199,BTC-SBD,2018-01-24T15:05:47.42,80.16686842,0.00061893,0.04961767,PARTIAL_FILL,BUY
14081174,BTC-SBD,2018-01-24T15:05:32.387,4.505,0.00061,0.00274805,PARTIAL_FILL,SELL
14081171,BTC-SBD,2018-01-24T15:05:31.153,73.30659636,0.00061894,0.04537238,FILL,BUY
14081168,BTC-SBD,2018-01-24T15:05:28.153,2.18117394,0.00061,0.00133051,PARTIAL_FILL,SELL
14081143,BTC-SBD,2018-01-24T15:04:57.09,1.56595477,0.00060801,0.00095211,PARTIAL_FILL,BUY
14081116,BTC-SBD,2018-01-24T15:04:45.793,5.99900356,0.00060801,0.00364745,FILL,SELL
14081115,BTC-SBD,2018-01-24T15:04:45.777,1.52936794,0.00060801,0.00092987,FILL,SELL
14081113,BTC-SBD,2018-01-24T15:04:44.45,14.13428066,0.00061,0.00862191,FILL,SELL
14081110,BTC-SBD,2018-01-24T15:04:38.37,126.09646124,0.00061375,0.0773917,FILL,SELL
14081107,BTC-SBD,2018-01-24T15:04:36.963,263.67979076,0.00061375,0.16183347,PARTIAL_FILL,SELL
14081106,BTC-SBD,2018-01-24T15:04:36.37,626.87010766,0.00061375,0.38474152,PARTIAL_FILL,SELL
14081105,BTC-SBD,2018-01-24T15:04:36.37,235.73001233,0.00061375,0.14467929,FILL,SELL
14081099,BTC-SBD,2018-01-24T15:04:18.793,2.13593806,0.00061375,0.00131093,PARTIAL_FILL,SELL
