Id,Pair,TimeStamp,Quantity,Price,Total,FillType,OrderType
38121882,BTC-STEEM,2018-01-25T17:38:21.807,31.299,0.00057505,0.01799848,PARTIAL_FILL,SELL
38121863,BTC-STEEM,2018-01-25T17:37:40.587,3.52,0.00057503,0.0020241,PARTIAL_FILL,SELL
38121860,BTC-STEEM,2018-01-25T17:37:35.117,37.11435036,0.0005754,0.02135559,FILL,BUY
38121855,BTC-STEEM,2018-01-25T17:37:26.087,21.15852462,0.00057541,0.01217482,FILL,BUY
38121853,BTC-STEEM,2018-01-25T17:37:21.477,1.30016801,0.00057541,0.00074812,FILL,BUY
38121833,BTC-STEEM,2018-01-25T17:37:05.413,3.0924438,0.0005755,0.0017797,FILL,SELL
38121831,BTC-STEEM,2018-01-25T17:37:04.1,34.80039009,0.00057735,0.020092,FILL,BUY
38121804,BTC-STEEM,2018-01-25T17:36:38.897,1.60741915,0.00057541,0.00092492,PARTIAL_FILL,BUY
38121798,BTC-STEEM,2018-01-25T17:36:32.913,641.36079343,0.00057541,0.36904541,FILL,BUY
38121790,BTC-STEEM,2018-01-25T17:36:28.96,569.55563634,0.00057541,0.327728,FILL,BUY
38121786,BTC-STEEM,2018-01-25T17:36:27.693,17.32897714,0.00057541,0.00997126,FILL,BUY
38121782,BTC-STEEM,2018-01-25T17:36:25.397,569.55563634,0.00057541,0.327728,FILL,BUY
38121780,BTC-STEEM,2018-01-25T17:36:24.897,20.953,0.00057541,0.01205656,FILL,BUY
38121778,BTC-STEEM,2018-01-25T17:36:24.443,418.63060957,0.00057541,0.24088423,FILL,BUY
38121777,BTC-STEEM,2018-01-25T17:36:24.443,9.0,0.0005754,0.0051786,PARTIAL_FILL,BUY
38121776,BTC-STEEM,2018-01-25T17:36:24.443,37.69899892,0.00057538,0.02169124,PARTIAL_FILL,BUY
38121775,BTC-STEEM,2018-01-25T17:36:24.443,54.69112825,0.00057501,0.03144794,PARTIAL_FILL,BUY
38121770,BTC-STEEM,2018-01-25T17:36:18.68,128.67547034,0.00057501,0.07398968,FILL,BUY
38121767,BTC-STEEM,2018-01-25T17:36:16.96,8.83542378,0.00057501,0.00508045,FILL,SELL
38121766,BTC-STEEM,2018-01-25T17:36:16.96,1.85126491,0.00057501,0.00106449,FILL,SELL
38121706,BTC-STEEM,2018-01-25T17:35:12.46,1.15990314,0.00057501,0.00066695,PARTIAL_FILL,SELL
38121702,BTC-STEEM,2018-01-25T17:35:04.52,650.0,0.000575,0.37375,PARTIAL_FILL,SELL
38121701,BTC-STEEM,2018-01-25T17:35:04.52,50.0,0.00057501,0.0287505,FILL,SELL
38121696,BTC-STEEM,2018-01-25T17:35:02.787,2607.22349684,0.00057541,1.50022247,FILL,BUY
38121695,BTC-STEEM,2018-01-25T17:35:02.787,150.0,0.0005754,0.08631,PARTIAL_FILL,BUY
